Designator,Mid X,Mid Y,Rotation,Layer,Val,Package
D1,29,-20.2,90,Top,LED_Small,LED_0603
D2,29,-24.2,90,Top,LED_Small,LED_0603
D3,29,-28.2,90,Top,LED_Small,LED_0603
D4,29,-32.2,90,Top,LED_Small,LED_0603
D5,29,-36.2,90,Top,LED_Small,LED_0603
D6,29,-40.2,90,Top,LED_Small,LED_0603
D7,29,-44.2,90,Top,LED_Small,LED_0603
D8,29,-48.2,90,Top,LED_Small,LED_0603
D9,32,-20.2,90,Top,LED_Small,LED_0603
D10,32,-24.2,90,Top,LED_Small,LED_0603
D11,32,-28.2,90,Top,LED_Small,LED_0603
D12,32,-32.2,90,Top,LED_Small,LED_0603
D13,32,-36.25,90,Top,LED_Small,LED_0603
D14,32,-40.2,90,Top,LED_Small,LED_0603
D15,32,-44.2,90,Top,LED_Small,LED_0603
D16,32,-48.2,90,Top,LED_Small,LED_0603
D17,35,-20.2,90,Top,LED_Small,LED_0603
D18,35,-24.2,90,Top,LED_Small,LED_0603
D19,35,-28.2,90,Top,LED_Small,LED_0603
D20,35,-32.2,90,Top,LED_Small,LED_0603
D21,35,-36.2,90,Top,LED_Small,LED_0603
D22,35,-40.2,90,Top,LED_Small,LED_0603
D23,35,-44.2,90,Top,LED_Small,LED_0603
D24,35,-48.2,90,Top,LED_Small,LED_0603
D25,38,-20.2,90,Top,LED_Small,LED_0603
D26,38,-24.2,90,Top,LED_Small,LED_0603
D27,38,-28.2,90,Top,LED_Small,LED_0603
D28,38,-32.2,90,Top,LED_Small,LED_0603
D29,38,-36.2,90,Top,LED_Small,LED_0603
D30,38,-40.2,90,Top,LED_Small,LED_0603
D31,38,-44.2,90,Top,LED_Small,LED_0603
D32,38,-48.2,90,Top,LED_Small,LED_0603
D33,41,-20.2,90,Top,LED_Small,LED_0603
D34,41,-24.2,90,Top,LED_Small,LED_0603
D35,41,-28.2,90,Top,LED_Small,LED_0603
D36,41,-32.2,90,Top,LED_Small,LED_0603
D37,41,-36.2,90,Top,LED_Small,LED_0603
D38,41,-40.2,90,Top,LED_Small,LED_0603
D39,41,-44.2,90,Top,LED_Small,LED_0603
D40,41,-48.2,90,Top,LED_Small,LED_0603
D41,44,-20.2,90,Top,LED_Small,LED_0603
D42,44,-24.2,90,Top,LED_Small,LED_0603
D43,44,-28.2,90,Top,LED_Small,LED_0603
D44,44,-32.2,90,Top,LED_Small,LED_0603
D45,44,-36.2,90,Top,LED_Small,LED_0603
